Index,Parcel List
0,19-04-17-0-000-047.001
1,19-04-17-0-000-048.000
2,19-04-17-0-000-049.000
3,19-04-17-0-000-060.000
4,19-04-17-0-000-060.001
5,19-04-17-0-000-060.002
6,19-04-17-0-000-060.003
7,19-04-17-0-000-060.004
8,19-04-17-0-000-060.005
9,19-04-17-0-000-060.006
10,19-04-17-0-000-060.007
11,19-04-17-0-000-060.011
12,19-04-17-0-000-060.012
13,19-04-17-0-000-060.013
14,19-04-17-0-000-060.014
15,19-04-17-0-000-060.015
16,19-04-17-0-000-060.016
17,19-04-17-0-000-060.017
18,19-04-17-0-000-060.018
19,19-04-17-0-000-060.019
20,19-04-17-0-000-060.020
21,19-04-17-0-000-060.021
22,19-04-17-0-000-060.022
23,19-04-17-0-000-060.023
24,19-04-17-0-000-060.024
25,19-04-17-0-000-060.025
26,19-04-17-0-000-060.026
27,19-04-17-0-000-060.027
28,19-04-17-0-000-060.028
29,19-04-17-0-000-060.029
30,19-04-17-0-000-060.030
31,19-04-17-0-000-060.031
32,19-04-17-0-000-060.033
33,19-04-17-0-000-060.034
34,19-04-17-0-000-060.035
35,19-04-17-0-000-060.036
36,19-04-17-0-000-060.037
37,19-04-17-0-000-060.038
38,19-04-17-0-000-060.039
39,19-04-17-0-000-060.040
40,19-04-17-0-000-060.041
41,19-04-17-0-000-060.042
42,19-04-17-0-000-060.043
43,19-04-17-0-000-061.000
44,19-04-17-0-000-062.000
45,19-04-17-0-000-062.001
46,19-04-17-0-000-063.000
47,19-04-17-0-000-063.001
48,19-04-17-0-000-064.000
49,19-04-18-0-000-001.000
50,19-04-18-0-000-002.000
51,19-04-18-0-000-003.000
52,19-04-18-0-000-003.001
53,19-04-18-0-000-004.000
54,19-04-18-0-000-005.000
55,19-04-18-0-000-005.001
56,19-04-18-0-000-005.002
57,19-04-18-0-000-005.003
58,19-04-18-0-000-005.004
59,19-04-18-0-000-005.005
60,19-04-18-0-000-005.006
61,19-04-18-0-000-005.007
62,19-04-18-0-000-005.008
63,19-04-18-0-000-005.011
64,19-04-18-0-000-006.000
65,19-04-18-0-000-007.000
66,19-04-18-0-000-007.001
67,19-04-18-0-000-008.000
68,19-04-18-0-000-008.001
69,19-04-18-0-000-008.002
70,19-04-18-0-000-008.003
71,19-04-18-0-000-008.004
72,19-04-18-0-000-008.006
73,19-04-18-0-000-008.007
74,19-04-18-0-000-008.008
75,19-04-18-0-000-008.009
76,19-04-18-0-000-008.010
77,19-04-18-0-000-008.011
78,19-04-18-0-000-008.012
79,19-04-18-0-000-008.013
80,19-04-18-0-000-008.014
81,19-04-18-0-000-008.015
82,19-04-18-0-000-008.016
83,19-04-18-0-000-008.017
84,19-04-18-0-000-009.000
85,19-04-18-0-000-009.001
86,19-04-18-0-000-009.002
87,19-04-18-0-000-009.003
88,19-04-18-0-000-009.004
89,19-04-18-0-000-009.005
90,19-04-18-0-000-009.006
91,19-04-18-0-000-009.007
92,19-04-18-0-000-009.008
93,19-04-18-0-000-009.009
94,19-04-18-0-000-010.000
95,19-04-18-0-000-011.000
96,19-04-18-0-000-011.001
97,19-04-18-0-000-011.002
98,19-04-18-0-000-012.000
99,19-04-18-0-000-012.001
100,19-04-18-0-000-012.002
101,19-04-18-0-000-012.003
102,19-04-18-0-000-013.000
103,19-04-18-0-000-014.000
104,19-04-18-0-000-015.000
105,19-04-18-0-000-017.000
106,19-04-18-0-000-017.001
107,19-04-18-0-000-018.000
108,19-04-18-0-000-019.000
109,19-04-18-0-000-020.000
110,19-04-18-0-000-020.001
111,19-04-18-0-000-020.002
112,19-04-18-0-000-020.003
113,19-04-18-0-000-020.004
114,19-04-18-0-000-020.005
115,19-04-18-0-000-020.006
116,19-04-18-0-000-020.007
